,Date,Name,Nationality,Cause of death,mountain,Year,Month,Range
535,1996-05-11 00:00:00,Rob Hall,New Zealand,exposure,Everest,1996,5,Himalaya
536,1996-05-11 00:00:00,Doug Hansen,United States,exposure,Everest,1996,5,Himalaya
537,1996-05-11 00:00:00,Andrew Harris,New Zealand,disappeared,Everest,1996,5,Himalaya
538,1996-05-11 00:00:00,Yasuko Namba,Japan,exposure,Everest,1996,5,Himalaya
539,1996-05-11 00:00:00,Tsewang Paljor,India,exposure,Everest,1996,5,Himalaya
540,1996-05-19 00:00:00,Reinhard Wlasich,Austria,altitude,Everest,1996,5,Himalaya
541,1996-05-25 00:00:00,Bruce Herrod,United Kingdom,others,Everest,1996,5,Himalaya
542,1996-06-06 00:00:00,Ngawang Topche,Nepal,others,Everest,1996,6,Himalaya
543,1996-06-20 00:00:00,Gabriel Stana,Romania,avalanche,Nanga Parbat,1996,6,Karakorum
544,1996-07-17 00:00:00,Manuel Alvarez,Spain,fall,Gasherbrum-1,1996,7,Karakorum
546,1996-07-20 00:00:00,Dong-keun Han,South Korea,others,Broad Peak,1996,7,Karakorum
547,1996-07-20 00:00:00,Jae-mo Yang,South Korea,others,Broad Peak,1996,7,Karakorum
545,1996-07-20 00:00:00,Sun-taek Lim,South Korea,others,Broad Peak,1996,7,Karakorum
548,1996-07-29 00:00:00,Lorenzo Mazzoleni,Italy,fall,K-2,1996,7,Karakorum
549,1996-08-14 00:00:00,Igor Benkin,Russia,exhaustion,K-2,1996,8,Karakorum
550,1996-09-25 00:00:00,Dawa,Nepal,avalanche,Everest,1996,9,Himalaya
551,1996-09-25 00:00:00,Lopsang Jangbu,Nepal,avalanche,Everest,1996,9,Himalaya
552,1996-09-25 00:00:00,Yves Bouchon,France,avalanche,Everest,1996,9,Himalaya
553,1996-10-05 00:00:00,Viktor Pastukh,Ukraine,avalanche,Shisha Pangma,1996,10,Himalaya
554,1996-10-06 00:00:00,Hiroshi Oya,Japan,altitude,Cho Oyu,1996,10,Himalaya
555,1996-10-10 00:00:00,Lubos Becak,Czech Republic,altitude,Cho Oyu,1996,10,Himalaya
556,1997-04-23 00:00:00,Malcolm Duff,United Kingdom,illness,Everest,1997,4,Himalaya
